date,Actual,OLS_Pred,ARIMAX_Pred,regime
2021-02-01,-1210609.830166089,-6667759.076051571,-7820762.523084564,2020+
2021-03-01,-1665580.8303806852,-5885230.89903062,-6953293.471083512,2020+
2021-04-01,299435.2277486612,-1504344.3285480887,-1775489.878498826,2020+
2021-05-01,333273.2102055384,-1729433.2576577892,-2021370.0135441073,2020+
2021-06-01,367309.5620458005,-2029459.1224316335,-2333733.9107038975,2020+
2021-07-01,929658.1655470183,-3446457.3892188673,-3888911.2576756915,2020+
2021-08-01,915759.6768234369,-3828252.658527761,-4246433.070926826,2020+
2020-10-01,-2145263.257984922,-7596110.930599222,-8779107.479099093,2020+
2020-11-01,-2336072.1498916107,-7147131.2256801445,-8285309.65782004,2020+
2020-12-01,-2496568.5921234675,-7575371.867545641,-8867196.36422033,2020+
2021-01-01,-1367743.3394532257,-7182487.080227759,-8519982.479856884,2020+
2021-02-01,-1210609.830166089,-6506371.29944121,-7817900.948868311,2020+
2021-03-01,-1665580.8303806852,-5736808.700499644,-6950749.298404547,2020+
2021-04-01,299435.2277486612,-1463664.850493445,-1774840.2359978445,2020+
2021-05-01,333273.2102055384,-1678880.0061047089,-2020630.4045913983,2020+
2021-06-01,367309.5620458005,-1966047.8917412425,-2332880.009466673,2020+
2021-07-01,929658.1655470183,-3334014.1647503255,-3887488.325384637,2020+
2021-08-01,915759.6768234369,-3701436.3589638537,-4244879.323292983,2020+
2021-09-01,843297.157629545,-3237259.9523968003,-3668535.0191237335,2020+
2020-11-01,-2336072.1498916107,-5246473.786831656,-4253961.611985072,2020+
2020-12-01,-2496568.5921234675,-5582292.917524126,-4552722.167077387,2020+
2021-01-01,-1367743.3394532257,-5309630.182619666,-4374450.672203532,2020+
2021-02-01,-1210609.830166089,-4818421.053024869,-4013977.9795330693,2020+
2021-03-01,-1665580.8303806852,-4248530.551802249,-3568752.636380781,2020+
2021-04-01,299435.2277486612,-1082145.6873204664,-911263.7353228796,2020+
2021-05-01,333273.2102055384,-1237894.313651427,-1037460.8220579479,2020+
2021-06-01,367309.5620458005,-1445543.3394321823,-1197780.4584688575,2020+
2021-07-01,929658.1655470183,-2446456.2124061882,-1995969.5870392905,2020+
2021-08-01,915759.6768234369,-2714644.1629912253,-2179466.360005448,2020+
2021-09-01,843297.157629545,-2376983.6748107546,-1883551.4641454862,2020+
2021-10-01,-737138.555537626,-2739518.419276807,-2154704.986371888,2020+
2020-12-01,-2496568.5921234675,-5064955.986844055,-4560321.814740332,2020+
